#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789000747|0|3|start|startup|649312,374240,449596,747136,0,358992,15248,0,12
1789000757|10|13|trig-1|trigger_positive|2888904,1243224,1471188,2954440,0,1226656,16560,8,31
1789000767|20|23|trig-2|trigger_positive|2888904,1248852,1476784,2954440,0,1232284,16560,8,29
1789000772|25|28|post-1|post_observation|2888904,1248856,1476788,2954440,0,1232288,16560,8,29
1789000782|35|38|post-2|post_observation|2888904,1271116,1493412,2954440,0,1254548,16560,8,29
1789000787|40|43|trig-3|trigger_positive|2888904,1271116,1493412,2954440,0,1254548,16560,8,29
1789000802|55|58|post-3|post_observation|2888904,1271116,1493412,2954440,0,1254548,16560,8,29
1789001047|300|303|base-303|base_periodic|2888904,1271136,1493412,2954440,0,1254568,16560,8,29
1789001347|600|603|base-603|base_periodic|2888904,1271144,1493412,2954440,0,1254576,16560,8,29
1789001647|900|903|base-903|base_periodic|2888904,1271164,1493412,2954440,0,1254596,16560,8,29
1789001947|1200|1203|base-1203|base_periodic|2888904,1271168,1493412,2954440,0,1254600,16560,8,29
1789002247|1500|1503|base-1503|base_periodic|2888916,1271184,1493420,2954440,0,1254616,16560,8,30
1789002547|1800|1803|base-1803|base_periodic|2888904,1271184,1493412,2954440,0,1254616,16560,8,29
1789002847|2100|2103|base-2103|base_periodic|2888904,1271184,1493412,2954440,0,1254616,16560,8,29
1789003147|2400|2403|base-2403|base_periodic|2888904,1271188,1493412,2954440,0,1254620,16560,8,29
1789003447|2700|2703|base-2703|base_periodic|2888904,1271188,1493412,2954440,0,1254620,16560,8,29
1789003747|3000|3003|base-3003|base_periodic|2888904,1271192,1493412,2954440,0,1254624,16560,8,29
1789004047|3300|3303|base-3303|base_periodic|2888904,1271208,1493412,2954440,0,1254640,16560,8,29
1789004347|3600|3603|base-3603|base_periodic|2888904,1271212,1493412,2954440,0,1254644,16560,8,29
1789004647|3900|3903|base-3903|base_periodic|2888904,1271216,1493412,2954440,0,1254648,16560,8,29
1789004947|4200|4203|base-4203|base_periodic|2888904,1271216,1493412,2954440,0,1254648,16560,8,29
1789005247|4500|4503|base-4503|base_periodic|2888904,1271216,1493412,2954440,0,1254648,16560,8,29
1789005547|4800|4803|base-4803|base_periodic|2888904,1271220,1493412,2954440,0,1254652,16560,8,29
1789005847|5100|5103|base-5103|base_periodic|2888916,1271236,1493420,2954440,0,1254668,16560,8,30
