#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789006147|5400|5403|base-5403|base_periodic|2888904,1271228,1493412,2954440,0,1254660,16560,8,29
1789006447|5700|5703|base-5703|base_periodic|2888904,1271228,1493412,2954440,0,1254660,16560,8,29
1789006744|5997|6000|win-6000|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789006747|6000|6003|base-6003|base_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789006804|6057|6060|win-6060|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789006865|6118|6121|win-6121|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789006925|6178|6181|win-6181|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789006985|6238|6241|win-6241|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789007045|6298|6301|win-6301|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789007047|6300|6303|base-6303|base_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789007105|6358|6361|win-6361|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789007165|6418|6421|win-6421|window_periodic|2888904,1271232,1493412,2954440,0,1254664,16560,8,29
1789007225|6478|6481|win-6481|window_periodic|2888904,1271280,1493412,2954440,0,1254712,16560,8,29
1789007285|6538|6541|win-6541|window_periodic|2888904,1271280,1493412,2954440,0,1254712,16560,8,29
1789007345|6598|6601|win-6601|window_periodic|2888904,1271280,1493412,2954440,0,1254712,16560,8,29
1789007347|6600|6603|base-6603|base_periodic|2888904,1271280,1493412,2954440,0,1254712,16560,8,29
1789007405|6658|6661|win-6661|window_periodic|2888904,1271280,1493412,2954440,0,1254712,16560,8,29
1789007465|6718|6721|win-6721|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007525|6778|6781|win-6781|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007585|6838|6841|win-6841|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007645|6898|6901|win-6901|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007648|6901|6904|base-6903|base_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007705|6958|6961|win-6961|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007765|7018|7021|win-7021|window_periodic|2888904,1271284,1493412,2954440,0,1254716,16560,8,29
1789007825|7078|7081|win-7081|window_periodic|2888904,1271288,1493412,2954440,0,1254720,16560,8,29
1789007885|7138|7141|win-7141|window_periodic|2888904,1271328,1493452,2954440,0,1254760,16560,8,29
1789007894|7147|7150|trig-4|trigger_positive|2888904,1276912,1499036,2954440,0,1260344,16560,8,29
1789007909|7162|7165|post-4|post_observation|2888904,1276912,1499036,2954440,0,1260344,16560,8,29
1789007945|7198|7201|win-7201|window_periodic|2888904,1276956,1499080,2954440,0,1260388,16560,8,29
1789007947|7200|7203|base-7203|base_periodic|2888904,1276956,1499080,2954440,0,1260388,16560,8,29
1789007948|7201|7204|trig-5|trigger_positive|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789007963|7216|7219|post-5|post_observation|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008005|7258|7261|win-7261|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008065|7318|7321|win-7321|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008125|7378|7381|win-7381|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008185|7438|7441|win-7441|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008245|7498|7501|win-7501|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008247|7500|7503|base-7503|base_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008305|7558|7561|win-7561|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008365|7618|7621|win-7621|window_periodic|2888904,1282544,1504668,2954440,0,1265976,16560,8,29
1789008425|7678|7681|win-7681|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008485|7738|7741|win-7741|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008545|7798|7801|win-7801|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008547|7800|7803|base-7803|base_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008605|7858|7861|win-7861|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008665|7918|7921|win-7921|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008725|7978|7981|win-7981|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008785|8038|8041|win-8041|window_periodic|2888916,1282560,1504676,2954440,0,1265992,16560,8,30
1789008845|8098|8101|win-8101|window_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008847|8100|8103|base-8103|base_periodic|2888904,1282548,1504668,2954440,0,1265980,16560,8,29
1789008905|8158|8161|win-8161|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789008965|8218|8221|win-8221|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009025|8278|8281|win-8281|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009085|8338|8341|win-8341|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009146|8399|8402|win-8402|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009147|8400|8403|base-8403|base_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009206|8459|8462|win-8462|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009266|8519|8522|win-8522|window_periodic|2888904,1282552,1504668,2954440,0,1265984,16560,8,29
1789009326|8579|8582|win-8582|window_periodic|2888904,1282556,1504668,2954440,0,1265988,16560,8,29
1789009386|8639|8642|win-8642|window_periodic|2888904,1282556,1504668,2954440,0,1265988,16560,8,29
1789009447|8700|8703|base-8703|base_periodic|2888904,1282556,1504668,2954440,0,1265988,16560,8,29
1789009747|9000|9003|base-9003|base_periodic|2888904,1282560,1504668,2954440,0,1265992,16560,8,29
1789009825|9078|9081|end|shutdown|2819208,1282396,1434980,2954440,0,1265828,16560,8,18
