ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789633713,5886,2932559,decklinkaudiosr,S,982,1576
1789633713,5886,2932560,decklinkvideosr,R,2312,46913
1789633713,5886,2932561,program-audio-q,S,1467,489
1789633713,5886,2932562,program-video-q,S,1040,1708
1789633713,5886,2932563,program-asrc-a:,S,312,2174
1789633713,5886,2932564,program-asrc-b:,S,2359,107
1789633713,5886,2932565,program-vsrc-a:,S,669,1175
1789633713,5886,2932566,program-vsrc-b:,S,1478,1066
1789633713,5886,2932567,media-agent,S,248,26
1789633713,5886,2932568,media-agent,S,12,2
1789633713,5886,2932569,media-agent,S,11,37
1789633715,5888,2932474,media-agent,S,29,19
1789633715,5888,2932483,media-agent,S,0,0
1789633715,5888,2932484,media-agent,S,0,0
1789633715,5888,2932485,media-agent,S,0,0
1789633715,5888,2932486,media-agent,S,0,0
1789633715,5888,2932487,media-agent,S,0,0
1789633715,5888,2932488,media-agent,S,2,30
1789633715,5888,2932489,media-agent,S,0,0
1789633715,5888,2932490,pool-spawner,S,0,0
1789633715,5888,2932491,queue1:src,S,143,1294
1789633715,5888,2932496,decklinkvideosr,S,201,2192
1789633715,5888,2932547,media-agent,S,11,1
1789633715,5888,2932551,media-agent,S,86,95
1789633715,5888,2932553,decklinkaudiosr,S,1574,524
1789633715,5888,2932554,queue0:src,S,187,1378
1789633715,5888,2932555,decklinkvideosr,S,4519,45501
1789633715,5888,2932556,queue3:src,S,848,430
1789633715,5888,2932557,queue2:src,S,1123,416
1789633715,5888,2932558,decklinkvideosr,S,2326,420
1789633715,5888,2932559,decklinkaudiosr,S,982,1577
1789633715,5888,2932560,decklinkvideosr,S,2315,46931
1789633715,5888,2932561,program-audio-q,S,1467,489
1789633715,5888,2932562,program-video-q,S,1041,1708
1789633715,5888,2932563,program-asrc-a:,S,313,2174
1789633715,5888,2932564,program-asrc-b:,S,2360,107
1789633715,5888,2932565,program-vsrc-a:,S,669,1176
1789633715,5888,2932566,program-vsrc-b:,S,1478,1067
1789633715,5888,2932567,media-agent,S,249,26
1789633715,5888,2932568,media-agent,S,12,2
1789633715,5888,2932569,media-agent,S,11,37
