#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789635299|7202|7472|base-7471|base_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635328|7231|7501|win-7501|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635388|7291|7561|win-7561|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635449|7352|7622|win-7621|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635509|7412|7682|win-7681|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635569|7472|7742|win-7741|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635598|7501|7771|base-7771|base_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635629|7532|7802|win-7801|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635689|7592|7862|win-7861|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635749|7652|7922|win-7921|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635809|7712|7982|win-7981|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635869|7772|8042|win-8041|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635898|7801|8071|base-8071|base_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635929|7832|8102|win-8101|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635989|7892|8162|win-8161|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789636049|7952|8222|win-8221|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636109|8012|8282|win-8281|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636169|8072|8342|win-8341|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636198|8101|8371|base-8371|base_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636229|8132|8402|win-8401|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636289|8192|8462|win-8461|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636349|8252|8522|win-8521|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636409|8312|8582|win-8581|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636469|8372|8642|win-8641|window_periodic|2956576,1244236,1469332,3022112,0,1227792,16436,8,30
1789636498|8401|8671|base-8671|base_periodic|2956576,1244240,1469332,3022112,0,1227796,16436,8,30
1789636798|8701|8971|base-8971|base_periodic|2956576,1244240,1469332,3022112,0,1227796,16436,8,30
1789636906|8809|9079|end|shutdown|2893024,1244080,1405788,3022112,0,1227636,16436,8,19
