#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789025353|7579|7866|win-7866|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025413|7639|7926|win-7926|window_periodic|2888916,1280512,1501924,2888928,0,1264276,16228,8,30
1789025474|7700|7987|win-7987|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025535|7761|8048|win-8048|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025577|7803|8090|base-8090|base_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025596|7822|8109|win-8109|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025657|7883|8170|win-8170|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025717|7943|8230|win-8230|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025778|8004|8291|win-8291|window_periodic|2888904,1280500,1501916,2888928,0,1264264,16228,8,29
1789025839|8065|8352|win-8351|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789025877|8103|8390|base-8390|base_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789025898|8124|8411|win-8411|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789025959|8185|8472|win-8472|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026020|8246|8533|win-8533|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026080|8306|8593|win-8593|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026140|8366|8653|win-8653|window_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026178|8404|8691|base-8690|base_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026477|8703|8990|base-8990|base_periodic|2888904,1280504,1501920,2888928,0,1264268,16228,8,29
1789026568|8794|9081|end|shutdown|2819208,1280344,1432232,2888928,0,1264108,16228,8,18
