cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
38,1788737331,1268344,14,29,0,0,38,0,32017,42683,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
39,1788737360,1268344,14,29,0,0,39,0,32881,43835,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
40,1788737388,1268344,14,29,0,0,40,0,33747,44990,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
41,1788737417,1268348,14,29,0,0,41,0,34612,46144,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
42,1788737446,1268348,14,29,0,0,42,0,35476,47294,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
43,1788737475,1268348,14,29,0,0,43,0,36341,48449,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
44,1788737504,1268348,14,29,0,0,44,0,37205,49600,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
45,1788737532,1268348,14,29,0,0,45,0,38072,50756,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
46,1788737561,1268348,14,29,0,0,46,0,38936,51907,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
47,1788737590,1268348,14,29,0,0,47,0,39800,53060,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
48,1788737619,1268348,14,29,0,0,48,0,40664,54210,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
49,1788737648,1268348,14,29,0,0,49,0,41527,55363,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
50,1788737676,1268348,14,29,0,0,50,0,42394,56516,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
51,1788737705,1268348,14,29,0,0,51,0,43258,57669,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
52,1788737734,1268348,14,29,0,0,52,0,44121,58820,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
53,1788737763,1268348,14,29,0,0,53,0,44985,59973,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
54,1788737792,1268348,14,29,0,0,54,0,45849,61122,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
55,1788737820,1268348,14,29,0,0,55,0,46715,62279,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
56,1788737849,1268348,14,29,0,0,56,0,47579,63429,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
57,1788737878,1268356,14,29,0,0,57,0,48443,64582,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
58,1788737907,1268356,14,29,0,0,58,0,49307,65733,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
59,1788737936,1268356,14,29,0,0,59,0,50171,66886,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
60,1788737964,1268356,14,29,0,0,60,0,51038,68040,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
61,1788737993,1268356,14,29,0,0,61,0,51902,69193,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
62,1788738022,1268356,14,29,0,0,62,0,52765,70343,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
63,1788738051,1268356,14,29,0,0,63,0,53629,71496,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
64,1788738079,1268356,14,29,0,0,64,0,54493,72646,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
65,1788738108,1268356,14,29,0,0,65,0,55360,73803,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
66,1788738137,1268356,14,29,0,0,66,0,56224,74954,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
67,1788738166,1268356,14,29,0,0,67,0,57088,76107,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
68,1788738195,1268356,14,29,0,0,68,0,57952,77258,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
69,1788738224,1268356,14,29,0,0,69,0,58816,78411,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
