cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1788868000,1145612,14,31,0,0,1,0,26,35,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1788868029,1270612,14,29,0,0,2,0,890,1186,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1788868058,1276200,14,29,0,0,3,0,1754,2339,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1788868087,1276220,14,29,0,0,4,0,2619,3491,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1788868116,1276236,14,29,0,0,5,0,3485,4647,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1788868144,1276236,14,29,0,0,6,0,4349,5798,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1788868173,1276236,14,29,0,0,7,0,5215,6953,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1788868202,1276240,14,29,0,0,8,0,6079,8104,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1788868231,1276240,14,29,0,0,9,0,6943,9256,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1788868260,1276240,14,29,0,0,10,0,7809,10410,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1788868288,1276240,14,29,0,0,11,0,8673,11563,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1788868317,1276240,14,29,0,0,12,0,9538,12715,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1788868346,1276240,14,29,0,0,13,0,10402,13868,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1788868375,1276240,14,29,0,0,14,0,11266,15019,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1788868404,1276240,14,29,0,0,15,0,12133,16176,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1788868432,1276244,14,29,0,0,16,0,12997,17326,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1788868461,1276244,14,29,0,0,17,0,13861,18480,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1788868490,1276244,14,29,0,0,18,0,14725,19630,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1788868519,1276244,14,29,0,0,19,0,15589,20783,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1788868548,1276244,14,29,0,0,20,0,16454,21937,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1788868576,1276244,14,29,0,0,21,0,17318,23089,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1788868605,1276244,14,29,0,0,22,0,18182,24240,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1788868634,1276244,14,29,0,0,23,0,19046,25393,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1788868663,1276244,14,29,0,0,24,0,19910,26544,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
25,1788868692,1276244,14,29,0,0,25,0,20776,27699,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
26,1788868720,1276244,14,29,0,0,26,0,21640,28850,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
27,1788868749,1276244,14,29,0,0,27,0,22504,30003,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
28,1788868778,1276244,14,29,0,0,28,0,23368,31153,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
29,1788868807,1276248,14,29,0,0,29,0,24232,32306,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
30,1788868836,1276252,14,29,0,0,30,0,25098,33460,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
31,1788868864,1276252,14,29,0,0,31,0,25962,34613,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
32,1788868893,1276252,14,29,0,0,32,0,26826,35764,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
33,1788868922,1276252,14,29,0,0,33,0,27690,36917,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
34,1788868951,1276252,14,29,0,0,34,0,28554,38067,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
35,1788868980,1276252,14,29,0,0,35,0,29420,39223,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
36,1788869008,1276252,14,29,0,0,36,0,30284,40374,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
37,1788869037,1276252,14,29,0,0,37,0,31148,41527,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
38,1788869066,1276252,14,29,0,0,38,0,32012,42677,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
39,1788869095,1276252,14,29,0,0,39,0,32876,43830,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
40,1788869124,1276252,14,29,0,0,40,0,33742,44984,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
41,1788869152,1276252,14,29,0,0,41,0,34606,46137,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
42,1788869181,1276252,14,29,0,0,42,0,35471,47289,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
43,1788869210,1276252,14,29,0,0,43,0,36335,48442,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
44,1788869239,1276252,14,29,0,0,44,0,37199,49593,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
45,1788869268,1276268,14,29,0,0,45,0,38066,50750,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
46,1788869296,1276268,14,29,0,0,46,0,38929,51900,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
47,1788869325,1276268,14,29,0,0,47,0,39793,53053,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
48,1788869354,1276284,14,29,0,0,48,0,40657,54204,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
49,1788869383,1276284,14,29,0,0,49,0,41521,55357,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
50,1788869412,1276284,14,29,0,0,50,0,42388,56511,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
51,1788869440,1276284,14,29,0,0,51,0,43251,57664,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
