ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789144096,5894,2511731,media-agent,S,0,0
1789144096,5894,2511732,pool-spawner,S,0,0
1789144096,5894,2511733,queue1:src,S,347,1085
1789144096,5894,2511738,queue0:src,S,419,1417
1789144096,5894,2511788,media-agent,S,86,96
1789144096,5894,2511789,decklinkaudiosr,S,584,314
1789144096,5894,2511790,decklinkvideosr,S,697,357
1789144096,5894,2511791,decklinkvideosr,S,904,49711
1789144096,5894,2511792,media-agent,S,241,71
1789144096,5894,2511793,media-agent,S,13,1
1789144096,5894,2511794,media-agent,S,11,31
1789144098,5896,2511716,media-agent,S,17,18
1789144098,5896,2511725,media-agent,S,0,0
1789144098,5896,2511726,media-agent,S,0,0
1789144098,5896,2511727,media-agent,S,0,0
1789144098,5896,2511728,media-agent,S,0,0
1789144098,5896,2511729,media-agent,S,0,0
1789144098,5896,2511730,media-agent,S,7,25
1789144098,5896,2511731,media-agent,S,0,0
1789144098,5896,2511732,pool-spawner,S,0,0
1789144098,5896,2511733,queue1:src,S,347,1085
1789144098,5896,2511738,queue0:src,S,419,1417
1789144098,5896,2511788,media-agent,S,86,96
1789144098,5896,2511789,decklinkaudiosr,S,584,315
1789144098,5896,2511790,decklinkvideosr,S,698,357
1789144098,5896,2511791,decklinkvideosr,S,907,49727
1789144098,5896,2511792,media-agent,S,241,71
1789144098,5896,2511793,media-agent,S,13,1
1789144098,5896,2511794,media-agent,S,11,31
1789144100,5898,2511716,media-agent,S,17,18
1789144100,5898,2511725,media-agent,S,0,0
1789144100,5898,2511726,media-agent,S,0,0
1789144100,5898,2511727,media-agent,S,0,0
1789144100,5898,2511728,media-agent,S,0,0
1789144100,5898,2511729,media-agent,S,0,0
1789144100,5898,2511730,media-agent,S,7,25
1789144100,5898,2511731,media-agent,S,0,0
1789144100,5898,2511732,pool-spawner,S,0,0
1789144100,5898,2511733,queue1:src,S,347,1085
1789144100,5898,2511738,queue0:src,S,420,1417
1789144100,5898,2511788,media-agent,S,86,96
1789144100,5898,2511789,decklinkaudiosr,S,584,315
1789144100,5898,2511790,decklinkvideosr,S,698,357
1789144100,5898,2511791,decklinkvideosr,S,910,49744
1789144100,5898,2511792,media-agent,S,241,71
1789144100,5898,2511793,media-agent,S,13,1
1789144100,5898,2511794,media-agent,S,11,31
1789144103,5901,2511716,media-agent,S,17,18
1789144103,5901,2511725,media-agent,S,0,0
1789144103,5901,2511726,media-agent,S,0,0
1789144103,5901,2511727,media-agent,S,0,0
1789144103,5901,2511728,media-agent,S,0,0
1789144103,5901,2511729,media-agent,S,0,0
1789144103,5901,2511730,media-agent,S,7,25
1789144103,5901,2511731,media-agent,S,0,0
1789144103,5901,2511732,pool-spawner,S,0,0
1789144103,5901,2511733,queue1:src,S,347,1086
1789144103,5901,2511738,queue0:src,S,421,1417
1789144103,5901,2511788,media-agent,S,86,96
1789144103,5901,2511789,decklinkaudiosr,S,584,315
1789144103,5901,2511790,decklinkvideosr,S,698,357
1789144103,5901,2511791,decklinkvideosr,S,913,49760
1789144103,5901,2511792,media-agent,S,241,71
1789144103,5901,2511793,media-agent,S,13,1
1789144103,5901,2511794,media-agent,S,11,31
1789144105,5903,2511716,media-agent,S,17,18
1789144105,5903,2511725,media-agent,S,0,0
1789144105,5903,2511726,media-agent,S,0,0
1789144105,5903,2511727,media-agent,S,0,0
1789144105,5903,2511728,media-agent,S,0,0
1789144105,5903,2511729,media-agent,S,0,0
1789144105,5903,2511730,media-agent,S,7,25
1789144105,5903,2511731,media-agent,S,0,0
1789144105,5903,2511732,pool-spawner,S,0,0
1789144105,5903,2511733,queue1:src,S,347,1086
1789144105,5903,2511738,queue0:src,S,421,1417
1789144105,5903,2511788,media-agent,S,86,96
1789144105,5903,2511789,decklinkaudiosr,S,584,316
1789144105,5903,2511790,decklinkvideosr,S,699,357
1789144105,5903,2511791,decklinkvideosr,S,917,49775
1789144105,5903,2511792,media-agent,S,241,71
1789144105,5903,2511793,media-agent,S,13,1
1789144105,5903,2511794,media-agent,S,11,31
1789144107,5905,2511716,media-agent,S,17,18
1789144107,5905,2511725,media-agent,S,0,0
1789144107,5905,2511726,media-agent,S,0,0
1789144107,5905,2511727,media-agent,S,0,0
1789144107,5905,2511728,media-agent,S,0,0
1789144107,5905,2511729,media-agent,S,0,0
1789144107,5905,2511730,media-agent,S,7,25
1789144107,5905,2511731,media-agent,S,0,0
1789144107,5905,2511732,pool-spawner,S,0,0
1789144107,5905,2511733,queue1:src,S,347,1087
1789144107,5905,2511738,queue0:src,S,422,1417
1789144107,5905,2511788,media-agent,S,86,96
1789144107,5905,2511789,decklinkaudiosr,S,584,316
1789144107,5905,2511790,decklinkvideosr,S,699,357
1789144107,5905,2511791,decklinkvideosr,S,921,49791
1789144107,5905,2511792,media-agent,S,242,71
1789144107,5905,2511793,media-agent,S,13,1
1789144107,5905,2511794,media-agent,S,11,31
1789144110,5908,2511716,media-agent,S,17,18
1789144110,5908,2511725,media-agent,S,0,0
1789144110,5908,2511726,media-agent,S,0,0
1789144110,5908,2511727,media-agent,S,0,0
1789144110,5908,2511728,media-agent,S,0,0
1789144110,5908,2511729,media-agent,S,0,0
1789144110,5908,2511730,media-agent,S,7,25
